fullCate,alterCate,group
12237430,37430,12
12335694,35694,12
12344082,44082,12
12344342,44342,12
12337613,37613,12
12344336,44336,12
12347100,47100,12
12237395,37395,12
12337714,37714,12
12237437,37437,12
12345022,45022,12
12237422,37422,12
12337585,37585,12
15335438,35438,15
12237622,37622,12
12337409,37409,12
12348976,48976,12
12318762,18762,12
12238749,38749,12
12344349,44349,12
12237379,37379,12
12343145,43145,12
12344315,44315,12
12337558,37558,12
12345688,45688,12
12349722,49722,12
12342172,42172,12
12345540,45540,12
12349704,49704,12
12345188,45188,12
12344212,44212,12
12343852,43852,12
12349046,49046,12
12337387,37387,12
12337419,37419,12
12348966,48966,12
12343000,43000,12
12344991,44991,12
12337513,37513,12
12343058,43058,12
12337582,37582,12
12344237,44237,12
12337381,37381,12
12348964,48964,12
12337400,37400,12
12343621,43621,12
12241131,41131,12
12336426,36426,12
12347102,47102,12
12337619,37619,12
12345678,45678,12
12342173,42173,12
12347427,47427,12
12237508,37508,12
12348118,48118,12
15346302,46302,15
12347424,47424,12
12337514,37514,12
15236038,36038,15
12337553,37553,12
12345579,45579,12
12241132,41132,12
12337611,37611,12
12337555,37555,12
12337414,37414,12
12349709,49709,12
12337511,37511,12
12337389,37389,12
15347094,47094,15
12341138,41138,12
12337564,37564,12
12337408,37408,12
12337388,37388,12
15336031,36031,15
12337535,37535,12
12337446,37446,12
12345689,45689,12
12337391,37391,12
12237573,37573,12
12337563,37563,12
12335745,35745,12
12348965,48965,12
15341038,41038,15
12346846,46846,12
12344341,44341,12
12337628,37628,12
15335844,35844,15
12337380,37380,12
12339364,39364,12
12337604,37604,12
12337518,37518,12
12337576,37576,12
12344350,44350,12
12348957,48957,12
12337556,37556,12
15242437,42437,15
12337520,37520,12
12337377,37377,12
12348967,48967,12
12237547,37547,12
12237506,37506,12
12344229,44229,12
15338982,38982,15
12337603,37603,12
12344231,44231,12
15343010,43010,15
12337608,37608,12
12337554,37554,12
15335845,35845,15
12348956,48956,12
12337579,37579,12
12337566,37566,12
15342527,42527,15
12346827,46827,12
12344080,44080,12
12337598,37598,12
12237510,37510,12
15345043,45043,15
15341200,41200,15
12337577,37577,12
15322293,22293,15
12343853,43853,12
12344334,44334,12
12337578,37578,12
12237385,37385,12
12337626,37626,12
15342528,42528,15
12247250,47250,12
12337609,37609,12
12337521,37521,12
15315149,15149,15
12237507,37507,12
12337398,37398,12
12337596,37596,12
12337402,37402,12
12337614,37614,12
12244076,44076,12
12344209,44209,12
15335846,35846,15
15328970,28970,15
15336051,36051,15
12347415,47415,12
12237393,37393,12
12344345,44345,12
12337594,37594,12
15346320,46320,15
12248116,48116,12
12337565,37565,12
12337593,37593,12
12337445,37445,12
12337599,37599,12
12339359,39359,12
12337560,37560,12
15332587,32587,15
15336067,36067,15
12337559,37559,12
12237616,37616,12
12337406,37406,12
15348103,48103,15
12344352,44352,12
12337606,37606,12
12237350,37350,12
15237732,37732,15
15315150,15150,15
12337376,37376,12
12337413,37413,12
15336065,36065,15
12337620,37620,12
15236036,36036,15
12344208,44208,12
15341198,41198,15
15317688,17688,15
12337536,37536,12
15346393,46393,15
12339363,39363,12
1524107,4107,15
12337602,37602,12
12344228,44228,12
15236039,36039,15
15314267,14267,15
12344083,44083,12
12239358,39358,12
12337600,37600,12
12337567,37567,12
12337382,37382,12
15328791,28791,15
15343004,43004,15
12237621,37621,12
12348112,48112,12
15335843,35843,15
12342174,42174,12
15343782,43782,15
12344211,44211,12
15236018,36018,15
12337562,37562,12
12237396,37396,12
15336029,36029,15
15241194,41194,15
15349085,49085,15
15342986,42986,15
15349081,49081,15
12337607,37607,12
15336044,36044,15
12344235,44235,12
12237505,37505,12
12337592,37592,12
15342886,42886,15
15332588,32588,15
12347358,47358,12
12237571,37571,12
15211225,11225,15
15320805,20805,15
15332133,32133,15
12344233,44233,12
12337386,37386,12
15215672,15672,15
15341197,41197,15
15315148,15148,15
15332130,32130,15
12344335,44335,12
15344960,44960,15
12237572,37572,12
12339361,39361,12
15347668,47668,15
15343049,43049,15
15349088,49088,15
15217837,17837,15
15341195,41195,15
15343007,43007,15
12237624,37624,12
12237623,37623,12
15315207,15207,15
15343784,43784,15
12337618,37618,12
15344962,44962,15
15345047,45047,15
15341196,41196,15
15336021,36021,15
15335840,35840,15
15336068,36068,15
15317576,17576,15
12347842,47842,12
15236004,36004,15
12344236,44236,12
12339360,39360,12
12337407,37407,12
15242046,42046,15
12337404,37404,12
15214178,14178,15
15342051,42051,15
12237500,37500,12
15244964,44964,15
15343002,43002,15
12337625,37625,12
15336046,36046,15
15343787,43787,15
15336020,36020,15
15235837,35837,15
15349747,49747,15
15336434,36434,15
12337595,37595,12
12344206,44206,12
12337629,37629,12
12337605,37605,12
15345049,45049,15
15336052,36052,15
15346858,46858,15
